Reaction_ID,Reaction_Equation,Subsystem
2AGPG161tipp,2agpg161_p --> 2agpg161_c,Fatty Acid and Lipid Metabolism
2AGPG180tipp,2agpg180_p --> 2agpg180_c,Fatty Acid and Lipid Metabolism
2AGPG181tipp,2agpg181_p --> 2agpg181_c,Fatty Acid and Lipid Metabolism
2DHGLCK,2dhglcn_c + atp_c + 2.0 h_c --> 6p2dhglcn_c + adp_c,Central Carbon Metabolism
2DHGLCNkt_tpp,2dhglcn_p + h_p --> 2dhglcn_c + h_c,Transport Systems
2DHGLCNtex,2dhglcn_e <=> 2dhglcn_p,Transport Systems
2PQQS,3pqq_c <=> 2pqq_c + h2o_c,Cofactor and Vitamin Biosynthesis
34DHCINMtex,34dhcinm_e <=> 34dhcinm_p,Transport Systems
34DHCINMtpp,34dhcinm_p <=> 34dhcinm_c,Transport Systems
34DHPHEtex,34dhphe_e <=> 34dhphe_p,Transport Systems
34DHPHEtpp,34dhphe_p + h_p --> 34dhphe_c + h_c,Transport Systems
34HPPOR,34hpp_c + o2_c --> co2_c + hgentis_c,Aromatic Compound Degradation
3AIBT2,ala__L_c + mmtsa_c <=> 3aib_c + pyr_c,Amino Acid Metabolism
3HAACOAT100,3hdecACP_c + coa_c <=> ACP_c + R_3hdcoa_c,Cellular Processes and Storage
3HAACOAT120,3hddecACP_c + coa_c <=> ACP_c + R_3hddcoa_c,Cellular Processes and Storage
3HAACOAT121,3hcddec5eACP_c + coa_c <=> ACP_c + R_3hcddec5ecoa_c,Cellular Processes and Storage
3HAACOAT140,3hmrsACP_c + coa_c <=> ACP_c + R_3hmrscoa_c,Cellular Processes and Storage
3HAACOAT141,3hcmrs7eACP_c + coa_c <=> ACP_c + R_3hcmrs7ecoa_c,Cellular Processes and Storage
3HAACOAT60,3hhexACP_c + coa_c <=> ACP_c + R_3hhcoa_c,Cellular Processes and Storage
3HAACOAT80,3hoctACP_c + coa_c <=> ACP_c + R_3hocoa_c,Cellular Processes and Storage
3HAD100,3hdecACP_c --> h2o_c + tdec2eACP_c,Fatty Acid and Lipid Metabolism
3HAD120,3hddecACP_c --> h2o_c + tddec2eACP_c,Fatty Acid and Lipid Metabolism
3HAD121,3hcddec5eACP_c --> h2o_c + t3c5ddeceACP_c,Fatty Acid and Lipid Metabolism
3HAD140,3hmrsACP_c --> h2o_c + tmrs2eACP_c,Fatty Acid and Lipid Metabolism
3HAD141,3hcmrs7eACP_c --> h2o_c + t3c7mrseACP_c,Fatty Acid and Lipid Metabolism
3HAD160,3hpalmACP_c --> h2o_c + tpalm2eACP_c,Fatty Acid and Lipid Metabolism
3HAD161,3hcpalm9eACP_c --> h2o_c + t3c9palmeACP_c,Fatty Acid and Lipid Metabolism
3HAD180,3hoctaACP_c --> h2o_c + toctd2eACP_c,Fatty Acid and Lipid Metabolism
3HAD181,3hcvac11eACP_c --> h2o_c + t3c11vaceACP_c,Fatty Acid and Lipid Metabolism
3HAD40,3haACP_c --> but2eACP_c + h2o_c,Fatty Acid and Lipid Metabolism
3HAD60,3hhexACP_c --> h2o_c + thex2eACP_c,Fatty Acid and Lipid Metabolism
3HAD80,3hoctACP_c --> h2o_c + toct2eACP_c,Fatty Acid and Lipid Metabolism
3HBCD,b2coa_c + h2o_c <=> 3hbcoa__R_c,Alternative Carbon Metabolism
3HBCOAHL,3hibutcoa_c + h2o_c --> 3hmp_c + coa_c + h_c,Amino Acid Metabolism
3HLYTCL,34dhphe_c + h_c --> co2_c + dopa_c,Stress Response and Environmental Adaptation
3MBZALDH,3mbzalc_c + nad_c --> 3mbzald_c + h_c + nadh_c,Aromatic Compound Degradation
3MBZDH,3mbzald_c + h2o_c + nad_c --> 2.0 h_c + m_tol_c + nadh_c,Aromatic Compound Degradation
3MBt2pp,3mb_p + h_p --> 3mb_c + h_c,Transport Systems
3MBtex,3mb_e <=> 3mb_p,Transport Systems
3MCAT23DOX,3mcat_c + o2_c --> cchoxod_c + h_c,Aromatic Compound Degradation
3OADPCOAT,3oxoadp_c + succoa_c --> oxadpcoa_c + succ_c,Aromatic Compound Degradation
3OAR100,3odecACP_c + h_c + nadph_c <=> 3hdecACP_c + nadp_c,Fatty Acid and Lipid Metabolism
3OAR120,3oddecACP_c + h_c + nadph_c <=> 3hddecACP_c + nadp_c,Fatty Acid and Lipid Metabolism
3OAR121,3ocddec5eACP_c + h_c + nadph_c --> 3hcddec5eACP_c + nadp_c,Fatty Acid and Lipid Metabolism
3OAR140,3omrsACP_c + h_c + nadph_c <=> 3hmrsACP_c + nadp_c,Fatty Acid and Lipid Metabolism
3OAR141,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c,Fatty Acid and Lipid Metabolism
3OAR160,3opalmACP_c + h_c + nadph_c <=> 3hpalmACP_c + nadp_c,Fatty Acid and Lipid Metabolism
3OAR161,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c,Fatty Acid and Lipid Metabolism
3OAR180,3ooctdACP_c + h_c + nadph_c <=> 3hoctaACP_c + nadp_c,Fatty Acid and Lipid Metabolism
3OAR181,3ocvac11eACP_c + h_c + nadph_c --> 3hcvac11eACP_c + nadp_c,Fatty Acid and Lipid Metabolism
3OAR40,actACP_c + h_c + nadph_c <=> 3haACP_c + nadp_c,Fatty Acid and Lipid Metabolism
3OAR60,3ohexACP_c + h_c + nadph_c <=> 3hhexACP_c + nadp_c,Fatty Acid and Lipid Metabolism
3OAR80,3ooctACP_c + h_c + nadph_c <=> 3hoctACP_c + nadp_c,Fatty Acid and Lipid Metabolism
3OAS100,h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c,Fatty Acid and Lipid Metabolism
3OAS120,dcaACP_c + h_c + malACP_c --> 3oddecACP_c + ACP_c + co2_c,Fatty Acid and Lipid Metabolism
3OAS121,cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c,Fatty Acid and Lipid Metabolism
3OAS140,ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,Fatty Acid and Lipid Metabolism
3OAS141,cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c,Fatty Acid and Lipid Metabolism
3OAS160,h_c + malACP_c + myrsACP_c --> 3opalmACP_c + ACP_c + co2_c,Fatty Acid and Lipid Metabolism
3OAS161,h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c,Fatty Acid and Lipid Metabolism
3OAS180,h_c + malACP_c + palmACP_c --> 3ooctdACP_c + ACP_c + co2_c,Fatty Acid and Lipid Metabolism
3OAS181,h_c + hdeACP_c + malACP_c --> 3ocvac11eACP_c + ACP_c + co2_c,Fatty Acid and Lipid Metabolism
3OAS60,butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c,Fatty Acid and Lipid Metabolism
3OAS80,h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c,Fatty Acid and Lipid Metabolism
3OXCOAT,coa_c + oxadpcoa_c --> accoa_c + succoa_c,Aromatic Compound Degradation
3OXOADPt_ex_,3oxoadp_e <=> 3oxoadp_p,Transport Systems
3OXOADPt_pp_,3oxoadp_p + h_p <=> 3oxoadp_c + h_c,Transport Systems
3PQQS,4pqq_c <=> 3pqq_c,Cofactor and Vitamin Biosynthesis
3_4DHBZ1t_pp_,34dhbz_p + h_p <=> 34dhbz_c + h_c,Transport Systems
3_4DHBZt2,34dhbz_e <=> 34dhbz_p,Transport Systems
4ABUTabcpp,4abut_p + atp_c + h2o_c --> 4abut_c + adp_c + h_c + pi_c,Transport Systems
4CMCOAS,T4hcinnm_c + atp_c + coa_c --> amp_c + coucoa_c + ppi_c,Aromatic Compound Degradation
4CMLCL_kt,4cml_c + h_c --> 5odhf2a_c + co2_c,Aromatic Compound Degradation
4HBADH,4hba_c + nad_c <=> 4hbald_c + h_c + nadh_c,Cofactor and Vitamin Biosynthesis
4HBHYOX,4hbz_c + h_c + nadph_c + o2_c --> 34dhbz_c + h2o_c + nadp_c,Aromatic Compound Degradation
4HBZtex,4hbz_e <=> 4hbz_p,Transport Systems
4HDPROO,4hpro_DC_c + 2.0 ficytc_c --> 1py4h3c_c + 2.0 focytc_c + h_c,Nitrogen Metabolism
4HPRODCabcpp,4hpro_DC_p + atp_c + h2o_c --> 4hpro_DC_c + adp_c + h_c + pi_c,Transport Systems
4HPRODCtex,4hpro_DC_e <=> 4hpro_DC_p,Transport Systems
4HPROE,4hpro_LT_c <=> 4hpro_DC_c,Nitrogen Metabolism
4HPROLTabcpp,4hpro_LT_p + atp_c + h2o_c --> 4hpro_LT_c + adp_c + h_c + pi_c,Transport Systems
4HPROLTtex,4hpro_LT_e <=> 4hpro_LT_p,Transport Systems
4HTHRS,h2o_c + phthr_c --> 4hthr_c + pi_c,Cofactor and Vitamin Biosynthesis
4MBZALDH,4mbzalc_c + nad_c --> 4mbzald_c + h_c + nadh_c,Aromatic Compound Degradation
4MBZDH,4mbzald_c + h2o_c + nad_c --> 2.0 h_c + nadh_c + p_tol_c,Aromatic Compound Degradation
4MCAT23DOX,4mcat_c + o2_c --> h_c + hmccms_c,Aromatic Compound Degradation
4OD,h_c + oxalc_c --> co2_c + op4en_c,Aromatic Compound Degradation
4OD2,2omcm_c + h_c --> 2hchd_c + co2_c,Aromatic Compound Degradation
4OT,2hmc_c <=> oxalc_c,Aromatic Compound Degradation
4OT2,hmccm_c <=> 2omcm_c,Aromatic Compound Degradation
4PCP,LalaDgluMdapDala_c + h2o_c --> LalaDgluMdap_c + ala__D_c,Cell Envelope and Wall Biosynthesis
4PCPpp,LalaDgluMdapDala_p + h2o_p --> LalaDgluMdap_p + ala__D_p,Cell Envelope and Wall Biosynthesis
5APTNabcpp,5aptn_p + atp_c + h2o_c --> 5aptn_c + adp_c + h_c + pi_c,Transport Systems
5APTNtex,5aptn_e <=> 5aptn_p,Transport Systems
5DH4DGLCD,5dh4dglc_c + h_c --> 25dop_c + co2_c + h2o_c,Alternative Carbon Metabolism
5DOAN,dad_5_c + h2o_c --> 5drib_c + ade_c,Nucleotide Metabolism
5OXPROabcpp,5oxpro_p + atp_c + h2o_c --> 5oxpro_c + adp_c + h_c + pi_c,Transport Systems
5OXPROtex,5oxpro_e <=> 5oxpro_p,Transport Systems
6ATHAtexi,6atha_e --> 6atha_p,Transport Systems
6HNACMO,6hnac_c + 2.0 h_c + nadh_c + o2_c --> co2_c + dhpyr_c + h2o_c + nad_c,Aromatic Compound Degradation
6HNACt1pp,6hnac_p + h_p <=> 6hnac_c + h_c,Transport Systems
6HNACtex,6hnac_e <=> 6hnac_p,Transport Systems
A5PISO,ru5p__D_c <=> ara5p_c,Cell Envelope and Wall Biosynthesis
AAC24DABA,aac24dab_c + h2o_c --> 24dab_c + ac_c + h_c,Nitrogen Metabolism
AACOAT,acac_c + atp_c + coa_c --> aacoa_c + amp_c + ppi_c,Alternative Carbon Metabolism
AACTOOR,aact_c + h2o_c + o2_c --> h2o2_c + mthgxl_c + nh4_c,Amino Acid Metabolism
AADSACYCL,h2o_c + h_c + thp2c_c <=> L2aadp6sa_c,Amino Acid Metabolism
AALDCDLsi,2amsa_c + h_c --> aacald_c + co2_c,Amino Acid Metabolism
AASAD3,L2aadp6sa_c + h2o_c + nad_c --> L2aadp_c + 2.0 h_c + nadh_c,Amino Acid Metabolism
AATA,2oxoadp_c + glu__L_c <=> L2aadp_c + akg_c,Amino Acid Metabolism
ABTA,4abut_c + akg_c --> glu__L_c + sucsal_c,Amino Acid Metabolism
ABUTD,4abutn_c + h2o_c + nad_c --> 4abut_c + 2.0 h_c + nadh_c,Nitrogen Metabolism
ABUTt2pp,4abut_p + h_p --> 4abut_c + h_c,Transport Systems
ABUTtex,4abut_e <=> 4abut_p,Transport Systems
ACACT1r,2.0 accoa_c <=> aacoa_c + coa_c,Alternative Carbon Metabolism
ACACt2pp,acac_p + h_p <=> acac_c + h_c,Transport Systems
ACACtex,acac_e <=> acac_p,Transport Systems
ACALD,acald_c + coa_c + nad_c <=> accoa_c + h_c + nadh_c,Aromatic Compound Degradation
ACALDtex,acald_e <=> acald_p,Transport Systems
ACALDtpp,acald_p <=> acald_c,Transport Systems
ACBIPGT,adocbip_c + gtp_c + h_c --> agdpcbi_c + ppi_c,Cofactor and Vitamin Biosynthesis
ACCOAC,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,Fatty Acid and Lipid Metabolism
ACGAMT,uacgam_c + udcpp_c --> ump_c + unaga_c,Cell Envelope and Wall Biosynthesis
ACGK,acglu_c + atp_c --> acg5p_c + adp_c,Amino Acid Metabolism
ACGS,accoa_c + glu__L_c --> acglu_c + coa_c + h_c,Amino Acid Metabolism
ACHBS,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c,Amino Acid Metabolism
ACLS,h_c + 2.0 pyr_c --> alac__S_c + co2_c,Cofactor and Vitamin Biosynthesis
ACOAD10f,fad_c + hptcoa_c <=> fadh2_c + hp2coa_c,Fatty Acid and Lipid Metabolism
ACOAD11f,fad_c + nonacoa_c <=> fadh2_c + nona2coa_c,Fatty Acid and Lipid Metabolism
ACOAD12f,fad_c + pdcacoa_c <=> fadh2_c + pdca2coa_c,Fatty Acid and Lipid Metabolism
ACOAD13f,fad_c + pnonacoa_c <=> fadh2_c + pnona2coa_c,Fatty Acid and Lipid Metabolism
ACOAD14f,fad_c + poctacoa_c <=> fadh2_c + pocta2coa_c,Fatty Acid and Lipid Metabolism
ACOAD15f,fad_c + phpcoa_c <=> fadh2_c + php2coa_c,Fatty Acid and Lipid Metabolism
ACOAD16f,fad_c + phxacoa_c <=> fadh2_c + phxa2coa_c,Fatty Acid and Lipid Metabolism
ACOAD17f,fad_c + pptcoa_c <=> fadh2_c + ppt2coa_c,Fatty Acid and Lipid Metabolism
ACOAD18f,fad_c + pbcoa_c <=> fadh2_c + pb2coa_c,Fatty Acid and Lipid Metabolism
ACOAD19f,fad_c + phppcoa_c <=> cinmcoa_c + fadh2_c,Fatty Acid and Lipid Metabolism
ACOAD1f,btcoa_c + fad_c <=> b2coa_c + fadh2_c,Fatty Acid and Lipid Metabolism
ACOAD20f,6athcoa_c + fad_c <=> 6ath2coa_c + fadh2_c,Fatty Acid and Lipid Metabolism
ACOAD21f,4atbcoa_c + fad_c <=> 4atb2coa_c + fadh2_c,Fatty Acid and Lipid Metabolism
ACOAD22f,fad_c + vacccoa_c <=> fadh2_c + vacc2coa_c,Fatty Acid and Lipid Metabolism
ACOAD23f,fad_c + hdcoa_c <=> fadh2_c + hd2coa_c,Fatty Acid and Lipid Metabolism
ACOAD24f,fad_c + tdecoa_c <=> fadh2_c + tde2coa_c,Fatty Acid and Lipid Metabolism
ACOAD25f,ddecoa_c + fad_c <=> dde2coa_c + fadh2_c,Fatty Acid and Lipid Metabolism
ACOAD26f,fad_c + odecoa_c <=> fadh2_c + ode2coa_c,Fatty Acid and Lipid Metabolism
ACOAD27f,fad_c + hdd7coa_c <=> fadh2_c + hdd7_2_coa_c,Fatty Acid and Lipid Metabolism
ACOAD28f,fad_c + tded5coa_c <=> fadh2_c + tded5_2_coa_c,Fatty Acid and Lipid Metabolism
ACOAD29f,fad_c + ptslacoa_c <=> fadh2_c + ptsla2coa_c,Fatty Acid and Lipid Metabolism
ACOAD2f,fad_c + hxcoa_c <=> fadh2_c + hx2coa_c,Fatty Acid and Lipid Metabolism
ACOAD30f,fad_c + hdd4coa_c <=> fadh2_c + hdd4_2_coa_c,Fatty Acid and Lipid Metabolism
ACOAD31f,fad_c + lnlccoa_c <=> fadh2_c + lnlc2coa_c,Fatty Acid and Lipid Metabolism
ACOAD32f,fad_c + hd_7_10_coa_c <=> fadh2_c + hd710_2_coa_c,Fatty Acid and Lipid Metabolism
ACOAD33f,fad_c + td_5_8_coa_c <=> fadh2_c + td58_2_coa_c,Fatty Acid and Lipid Metabolism
ACOAD34f,dec4coa_c + fad_c <=> dec4_2_coa_c + fadh2_c,Fatty Acid and Lipid Metabolism
ACOAD3f,fad_c + occoa_c <=> fadh2_c + oc2coa_c,Fatty Acid and Lipid Metabolism
ACOAD4f,dcacoa_c + fad_c <=> dc2coa_c + fadh2_c,Fatty Acid and Lipid Metabolism
ACOAD5f,ddcacoa_c + fad_c <=> dd2coa_c + fadh2_c,Fatty Acid and Lipid Metabolism
ACOAD6f,fad_c + tdcoa_c <=> fadh2_c + td2coa_c,Fatty Acid and Lipid Metabolism
ACOAD7f,fad_c + pmtcoa_c <=> fadh2_c + hdd2coa_c,Fatty Acid and Lipid Metabolism
ACOAD8f,fad_c + stcoa_c <=> fadh2_c + od2coa_c,Fatty Acid and Lipid Metabolism
ACOADH1,2mbcoa_c + fad_c --> 2mb2coa_c + fadh2_c,Amino Acid Metabolism
ACOADH2,2.0 ibcoa_c + o2_c --> 2.0 2mp2coa_c + 2.0 h2o_c,Amino Acid Metabolism
ACOATA,ACP_c + accoa_c <=> acACP_c + coa_c,Fatty Acid and Lipid Metabolism
ACODA,acorn_c + h2o_c --> ac_c + orn_c,Amino Acid Metabolism
ACONCt4pp,acon_C_p + na1_p --> acon_C_c + na1_c,Transport Systems
ACONCtex,acon_C_e <=> acon_C_p,Transport Systems
ACONIs,acon_T_c <=> acon_C_c,Alternative Carbon Metabolism
ACONMT,acon_T_c + amet_c --> aconm_c + ahcys_c,Alternative Carbon Metabolism
ACONTa,cit_c <=> acon_C_c + h2o_c,Central Carbon Metabolism
ACONTb,acon_C_c + h2o_c <=> icit_c,Central Carbon Metabolism
ACOTA,acorn_c + akg_c <=> acg5sa_c + glu__L_c,Amino Acid Metabolism
ACPPAT120,ddcaACP_c + h_c + pi_c --> ACP_c + ddcap_c,Fatty Acid and Lipid Metabolism
ACPPAT140,h_c + myrsACP_c + pi_c --> ACP_c + ttdcap_c,Fatty Acid and Lipid Metabolism
ACPPAT141,h_c + pi_c + tdeACP_c --> ACP_c + ttdceap_c,Fatty Acid and Lipid Metabolism
ACPPAT160,h_c + palmACP_c + pi_c --> ACP_c + hdcap_c,Fatty Acid and Lipid Metabolism
ACPPAT161,h_c + hdeACP_c + pi_c --> ACP_c + hdceap_c,Fatty Acid and Lipid Metabolism
ACPPAT180,h_c + ocdcaACP_c + pi_c --> ACP_c + ocdcap_c,Fatty Acid and Lipid Metabolism
ACPPAT181,h_c + octeACP_c + pi_c --> ACP_c + ocdceap_c,Fatty Acid and Lipid Metabolism
ACPS1,apoACP_c + coa_c --> ACP_c + h_c + pap_c,Cell Envelope and Wall Biosynthesis
ACS,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c,Central Carbon Metabolism
ACS2,atp_c + coa_c + ppa_c --> amp_c + ppcoa_c + ppi_c,Alternative Carbon Metabolism
ACSERtex,acser_e <=> acser_p,Transport Systems
ACSERtpp,acser_c --> acser_p,Transport Systems
ACSPHAC100,R_3hdcaa_c + atp_c + coa_c --> R_3hdcoa_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHAC101,R3hdec4e_c + atp_c + coa_c --> R3hdec4coa_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHAC120,R_3hdda_c + atp_c + coa_c --> R_3hddcoa_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHAC121,R_3hdd5ea_c + atp_c + coa_c --> R_3hcddec5ecoa_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHAC121d6,R_3hdd6e_c + atp_c + coa_c --> R_3hdd6coa_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHAC140,R_3httdca_c + atp_c + coa_c --> R_3hmrscoa_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHAC141,R_3hcmrs7e_c + atp_c + coa_c --> R_3hcmrs7ecoa_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHAC141d5,R_3htd5e_c + atp_c + coa_c --> R_3htd5coa_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHAC142,R_3htd58e_c + atp_c + coa_c --> R_3htd58coa_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHAC160,R_3hhdca_c + atp_c + coa_c --> R_3hhdcoa_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHAC40,atp_c + bhb_c + coa_c --> 3hbcoa__R_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHAC50,R_3hpt_c + atp_c + coa_c --> R_3hptcoa_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHAC60,R_3hhxa_c + atp_c + coa_c --> R_3hhcoa_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHAC70,R_3hhpa_c + atp_c + coa_c --> R_3hhpcoa_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHAC80,R_3hocta_c + atp_c + coa_c --> R_3hocoa_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHAC90,R_3hnonaa_c + atp_c + coa_c --> R_3hnonacoa_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHACP100,R_3hpdeca_c + atp_c + coa_c --> R_3hpdecacoa_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHACP40,R_3hpba_c + atp_c + coa_c --> R_3hpbcoa_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHACP50,R_3hppta_c + atp_c + coa_c --> R_3hpptcoa_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHACP60,R_3hphxa_c + atp_c + coa_c --> R_3hphxacoa_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHACP70,R_3hphpa_c + atp_c + coa_c --> R_3hphpcoa_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHACP80,R_3hpocta_c + atp_c + coa_c --> R_3hpoctacoa_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHACP90,R_3hpnona_c + atp_c + coa_c --> R_3hpnonacoa_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHACT40,R_3h4atba_c + atp_c + coa_c --> R_3h4atbcoa_c + amp_c + ppi_c,Cellular Processes and Storage
ACSPHACT60,R_3h6atha_c + atp_c + coa_c --> R_3h6athcoa_c + amp_c + ppi_c,Cellular Processes and Storage
ACTD2,actn__R_c + coa_c + nad_c --> acald_c + accoa_c + h_c + nadh_c,Alternative Carbon Metabolism
ACTNtex,actn__R_e <=> actn__R_p,Transport Systems
ACTNtpp,actn__R_p + h_p --> actn__R_c + h_c,Transport Systems
ACt2rpp,ac_p + h_p <=> ac_c + h_c,Transport Systems
ACt4pp,ac_p + na1_p --> ac_c + na1_c,Transport Systems
ACt5pp,ac_p + 2.0 h_p --> ac_c + 2.0 h_c,Transport Systems
ACtex,ac_e <=> ac_p,Transport Systems
ADA,adn_c + h2o_c + h_c --> ins_c + nh4_c,Nucleotide Metabolism
ADCL,4adcho_c --> 4abz_c + h_c + pyr_c,Cofactor and Vitamin Biosynthesis
ADCPS1,adcobhex_c + appl_c + atp_c --> adocbi_c + adp_c + h_c + pi_c,Cofactor and Vitamin Biosynthesis
ADCPS2,adcobhex_c + applp_c + atp_c --> adocbip_c + adp_c + h_c + pi_c,Cofactor and Vitamin Biosynthesis
ADCS,chor_c + gln__L_c --> 4adcho_c + glu__L_c,Cofactor and Vitamin Biosynthesis
ADCYRS,adcobdam_c + 4.0 atp_c + 4.0 gln__L_c + 4.0 h2o_c --> adcobhex_c + 4.0 adp_c + 4.0 glu__L_c + 4.0 h_c + 4.0 pi_c,Cofactor and Vitamin Biosynthesis
ADEt2rpp,ade_p + h_p <=> ade_c + h_c,Transport Systems
ADEtex,ade_e <=> ade_p,Transport Systems
ADK1,amp_c + atp_c <=> 2.0 adp_c,Nucleotide Metabolism
ADK3,amp_c + gtp_c <=> adp_c + gdp_c,Nucleotide Metabolism
ADK4,amp_c + itp_c <=> adp_c + idp_c,Nucleotide Metabolism
ADNCYC,atp_c --> camp_c + ppi_c,Nucleotide Metabolism
ADNK1,adn_c + atp_c --> adp_c + amp_c + h_c,Nucleotide Metabolism
ADNUC,adn_c + h2o_c --> ade_c + rib__D_c,Nucleotide Metabolism
ADNtex,adn_e <=> adn_p,Transport Systems
ADOCBIK,adocbi_c + atp_c --> adocbip_c + adp_c + h_c,Cofactor and Vitamin Biosynthesis
ADOCBLS,agdpcbi_c + rdmbzi_c --> adocbl_c + gmp_c + h_c,Cofactor and Vitamin Biosynthesis
ADOCBLabcpp,adocbl_p + atp_c + h2o_c --> adocbl_c + adp_c + h_c + pi_c,Transport Systems
ADOCBLtonex,adocbl_e + h_p --> adocbl_p + h_c,Transport Systems
ADPRDP,adprib_c + h2o_c --> amp_c + 2.0 h_c + r5p_c,Nucleotide Metabolism
ADPT,ade_c + prpp_c --> amp_c + ppi_c,Nucleotide Metabolism
ADSELK,adsel_c + atp_c --> 3padsel_c + adp_c + h_c,Metal and Inorganic Metabolism
ADSELR,3padsel_c + trdrd_c --> 2.0 h_c + pap_c + slnt_c + trdox_c,Metal and Inorganic Metabolism
