Reaction_ID,Reaction_Equation,Subsystem
13DAMPPabcpp,13dampp_p + atp_c + h2o_c --> 13dampp_c + adp_c + h_c + pi_c,Transport Systems
13DAMPPtex,13dampp_e <=> 13dampp_p,Transport Systems
15DAPabcpp,15dap_p + atp_c + h2o_c --> 15dap_c + adp_c + h_c + pi_c,Transport Systems
1P2CBXLCYCL,5a2opntn_c <=> 1p2cbxl_c + h2o_c + h_c,Nitrogen Metabolism
1P2CBXLR,1p2cbxl_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c,Nitrogen Metabolism
1PPDCRc,1pipdn2c_c + h_c + nadph_c --> Lpipecol_c + nadp_c,Amino Acid Metabolism
1PQQS,2pqq_c + o2_c <=> 1pqq_c,Cofactor and Vitamin Biosynthesis
1PY4h3cAH,1py4h3c_c + h2o_c + h_c --> 25dop_c + nh4_c,Nitrogen Metabolism
23CTI1,decoa_c --> dc2coa_c,Fatty Acid and Lipid Metabolism
23CTI2,dded3coa_c --> dd2coa_c,Fatty Acid and Lipid Metabolism
23CTI3,dd_3_6_coa_c --> dd6_2_coa_c,Fatty Acid and Lipid Metabolism
24DECOAR,dec4_2_coa_c + h_c + nadph_c --> dc2coa_c + nadp_c,Fatty Acid and Lipid Metabolism
25DKGLCNt2rpp,25dkglcn_p + h_p <=> 25dkglcn_c + h_c,Transport Systems
25DKGLCNtex,25dkglcn_e <=> 25dkglcn_p,Transport Systems
26DAHtex,26dap__M_e <=> 26dap__M_p,Transport Systems
2AACLPGT160,2agpg160_c + palmACP_c --> ACP_c + pg160_c,Fatty Acid and Lipid Metabolism
2AACLPGT161,2agpg161_c + hdeACP_c --> ACP_c + pg161_c,Fatty Acid and Lipid Metabolism
2AACLPGT180,2agpg180_c + ocdcaACP_c --> ACP_c + pg180_c,Fatty Acid and Lipid Metabolism
2AACLPGT181,2agpg181_c + octeACP_c --> ACP_c + pg181_c,Fatty Acid and Lipid Metabolism
2AACLPPEAT160,2agpe160_c + palmACP_c --> ACP_c + pe160_c,Fatty Acid and Lipid Metabolism
2AACLPPEAT161,2agpe161_c + hdeACP_c --> ACP_c + pe161_c,Fatty Acid and Lipid Metabolism
2AACLPPEAT180,2agpe180_c + ocdcaACP_c --> ACP_c + pe180_c,Fatty Acid and Lipid Metabolism
2AACLPPEAT181,2agpe181_c + octeACP_c --> ACP_c + pe181_c,Fatty Acid and Lipid Metabolism
2AGPE160tipp,2agpe160_p --> 2agpe160_c,Fatty Acid and Lipid Metabolism
2AGPE161tipp,2agpe161_p --> 2agpe161_c,Fatty Acid and Lipid Metabolism
2AGPE180tipp,2agpe180_p --> 2agpe180_c,Fatty Acid and Lipid Metabolism
2AGPE181tipp,2agpe181_p --> 2agpe181_c,Fatty Acid and Lipid Metabolism
2AGPG160tipp,2agpg160_p --> 2agpg160_c,Fatty Acid and Lipid Metabolism
