ID,Reaction,Name,Subsystem
DM_C120aPHA,C120aPHA_c --> ,R_C120aPHA_demand,Unassigned
DM_C121aPHA,C121aPHA_c --> ,R_C121aPHA_demand,Unassigned
DM_C121d6PHA,C121d6PHA_c --> ,R_C121d6PHA_demand,Unassigned
DM_C140aPHA,C140aPHA_c --> ,R_C140aPHA_demand,Unassigned
DM_C141aPHA,C141aPHA_c --> ,R_C121d6PHA_demand,Unassigned
DM_C141d5PHA,C141d5PHA_c --> ,R_C141d5PHA_demand,Unassigned
DM_C142PHA,C142PHA_c --> ,R_C142PHA_demand,Unassigned
DM_C40aPHA,C40aPHA_c --> ,R_C40aPHA_demand,Unassigned
DM_C40atPHA,C40atPHA_c --> ,R_C40atPHA_demand,Unassigned
DM_C40pPHA,C40pPHA_c --> ,R_C40pPHA_demand,Unassigned
DM_C50aPHA,C50aPHA_c --> ,R_C50aPHA_demand,Unassigned
DM_C50pPHA,C50pPHA_c --> ,R_C50pPHA_demand,Unassigned
DM_C60aPHA,C60aPHA_c --> ,R_C60aPHA_demand,Unassigned
DM_C60atPHA,C60atPHA_c --> ,R_C60atPHA_demand,Unassigned
DM_C60pPHA,C60pPHA_c --> ,R_C60pPHA_demand,Unassigned
DM_C70aPHA,C70aPHA_c --> ,R_C70aPHA_demand,Unassigned
DM_C70pPHA,C70pPHA_c --> ,R_C70pPHA_demand,Unassigned
DM_C80aPHA,C80aPHA_c --> ,R_C80aPHA_demand,Unassigned
DM_C80pPHA,C80pPHA_c --> ,R_C80pPHA_demand,Unassigned
DM_C90aPHA,C90aPHA_c --> ,R_C90aPHA_demand,Unassigned
DM_C90pPHA,C90pPHA_c --> ,R_C90pPHA_demand,Unassigned
DM__acmum6p,acmum6p_c --> ,R_DM__acmum6p_c_,Unassigned
DM__ppi50,ppi50_c --> ,R_DM__ppi50,Unassigned
DM_acgam,acgam_c --> ,R_DM__acgam,Unassigned
DM_doxopa,doxopa_c --> ,R_DM_doxopa,Unassigned
DM_tripeptide_c_,tripeptide_c --> ,R_tripeptide_demand,Unassigned
ECOAE,3hbcoa_c <=> 3hbcoa__R_c,R_3_hydroxyacyl_CoA_dehydratase__3_hydroxybutanoyl_CoA_,Unassigned
HMR_0180,atp_c + coa_c + dca_c --> amp_c + dcacoa_c + ppi_c,R_fatty_acid__CoA_ligase__decanoate_,Unassigned
FMNR2r,fmn_c + h_c + nadph_c <=> fmnh2_c + nadp_c,R_FMN_reductase,Unassigned
FMNRx2,fmn_c + h_c + nadph_c --> fmnh2_c + nadp_c,R_FMN_reductase,Unassigned
G5SD,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c,R_glutamate_5_semialdehyde_dehydrogenase,Unassigned
GLCS3,4.0 adpglc_c --> 4.0 adp_c + glyg4n_c + 4.0 h_c,R_glycogen_synthase__ADPGlc___4_units_,Unassigned
GLNS,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,R_glutamine_synthetase,Unassigned
GLUCYS,atp_c + cys__L_c + glu__L_c --> adp_c + glucys_c + h_c + pi_c,R_gamma_glutamylcysteine_synthetase,Unassigned
GLUDx,glu__L_c + h2o_c + nad_c <=> akg_c + h_c + nadh_c + nh4_c,R_glutamate_dehydrogenase__NAD_,Unassigned
GLYD,h_c + hpyr_c + nadh_c <=> glyc__R_c + nad_c,R_glycerate_dehydrogenase,Unassigned
HACD9i,3hptcoa_c + nad_c --> 3optcoa_c + h_c + nadh_c,R_3_hydroxyacyl_CoA_dehydrogenase__3_oxovaleryl_CoA_,Unassigned
HIUHY,5hiu_c + h2o_c <=> 5houdic_c,R_hydroxyisourate_hydrolase,Unassigned
HOPNTAL3,4h2oxov_c --> acald_c + pyr_c,R_4_hydroxy_2_oxopentanoate_aldolase_m_xylene_,Unassigned
ILEDHr,h2o_c + ile__L_c + nad_c <=> 3mop_c + h_c + nadh_c + nh4_c,R_Valine_dehydrogenase,Unassigned
KAT2,3ohcoa_c + coa_c --> accoa_c + btcoa_c,R_3_ketoacyl_CoA_thiolase,Unassigned
KAT3,3oocoa_c + coa_c --> accoa_c + hxcoa_c,R_3_ketoacyl_CoA_thiolase,Unassigned
KAT4,3odcoa_c + coa_c --> accoa_c + occoa_c,R_3_ketoacyl_CoA_thiolase,Unassigned
KAT5,3oddcoa_c + coa_c --> accoa_c + dcacoa_c,R_3_ketoacyl_CoA_thiolase,Unassigned
KAT6,3otdcoa_c + coa_c --> accoa_c + ddcacoa_c,R_3_ketoacyl_CoA_thiolase,Unassigned
KAT7,3ohdcoa_c + coa_c --> accoa_c + tdcoa_c,R_3_ketoacyl_CoA_thiolase,Unassigned
KAT9,3optcoa_c + coa_c --> accoa_c + ppcoa_c,R_acetyl_CoA_C_acyltransferase__3_oxovaleryl_CoA_,Unassigned
LEUDHr,h2o_c + leu__L_c + nad_c <=> 4mop_c + h_c + nadh_c + nh4_c,R_leucine_dehydrogenase,Unassigned
LPADSS2,lipidX_kt_c + u23dddcga_c --> h_c + lipidAds_kt_c + udp_c,R_Lipid_A_disaccaride_synthase,Unassigned
MAL1K,atp_c + malt_c --> adp_c + h_c + malt1p_c,R_maltokinase,Unassigned
MECDPS,2p4c2me_c --> 2mecdp_c + cmp_c,R_2_C_methyl_D_erythritol_2_4_cyclodiphosphate_synthase,Unassigned
NAt3_1pp,h_p + na1_c <=> h_c + na1_p,R_sodium_proton_antiporter__HNA_is_11___periplasm_,Unassigned
OP4ENH3,chpd_c + h2o_c --> 4h2oxov_c,R_2_oxopent_4_enoate_hydratase_m_xylene_,Unassigned
PPHNTA,Largn_c + akg_c <=> glu__L_c + h_c + pphn_c,R_prephenate_transaminase,Unassigned
PPK2r,atp_c + ppi_c <=> adp_c + pppi_c,R_polyphosphate_kinase,Unassigned
PPKr,atp_c + pi_c <=> adp_c + ppi_c,R_polyphosphate_kinase,Unassigned
PRAIi,pran_c --> 2cpr5p_c,R_phosphoribosylanthranilate_isomerase__irreversible_,Unassigned
PRAMPC,h2o_c + prbamp_c --> prfp_c,R_phosphoribosyl_AMP_cyclohydrolase,Unassigned
PRASCSi,5aizc_c + asp__L_c + atp_c --> 25aics_c + adp_c + h_c + pi_c,R_phosphoribosylaminoimidazolesuccinocarboxamide_synthase,Unassigned
PRMICI,prfp_c <=> prlp_c,R_1__5_phosphoribosyl__5__5_phosphoribosylamino_methylideneamino_imidazole_4_carboxamide_isomerase,Unassigned
PSCVT,pep_c + skm5p_c <=> 3psme_c + pi_c,R_3_phosphoshikimate_1_carboxyvinyltransferase,Unassigned
RDXRr,nadh_c + 2.0 rdxo_c <=> h_c + nad_c + 2.0 rdxr_c,R_Rubredoxin_oxidoreductase_reversible,Unassigned
RHACOAE40,3hbcoa__R_c + h2o_c --> bhb_c + coa_c + h_c,R_R_hydroxy_acyl_CoA_thioesterase__C40_,Unassigned
SERAT,accoa_c + ser__L_c <=> acser_c + coa_c,R_serine_O_acetyltransferase,Unassigned
THRA2r,athr__L_c <=> acald_c + gly_c,R_L_allo_Threonine_Aldolase,Unassigned
THRAr,thr__L_c <=> acald_c + gly_c,R_Threonine_Aldolase,Unassigned
TRPS1,3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c,R_tryptophan_synthase__indoleglycerol_phosphate_,Unassigned
U23GAAT2,3hddecACP_c + u3dcga_c --> ACP_c + h_c + u23dddcga_c,R_UDP_3_O__3_hydroxymyristoyl_glucosamine_acyltransferase,Unassigned
UAGAAT2,3hdecACP_c + uacgam_c <=> ACP_c + u3dcaga_c,R_UDP_N_acetylglucosamine_acyltransferase__hydroxydecanoyl_,Unassigned
UDCPGT,udcpp_c + udpgal_c --> udcpg_c + ump_c,R_undecaprenol_phosphate_galactosephosphotransferase,Unassigned
UHGADA2,h2o_c + u3dcaga_c --> ac_c + u3dcga_c,R_UDP_3_O_acetylglucosamine_deacetylase__hydroxydecanoil_,Unassigned
VALTRS,atp_c + trnaval_c + val__L_c --> amp_c + ppi_c + valtrna_c,R_Valyl_tRNA_synthetase,Unassigned
sink_PHAg,PHAg_c <=> ,R_PHA_preexistent,Unassigned
sink_pqqA_kt_c_,pqqA_kt_c <-- ,R_sink_pqqA_kt,Unassigned
CMS,2me4p_c + ctp_c --> 4c2me_c + ppi_c,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Unassigned
PRAI,pran_c --> 2cpr5p_c,Phosphoribosylanthranilate isomerase,Unassigned
SERH,3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c,L-serine hydrolyase,Unassigned
GALh,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,"Glutamate---ammonia ligase, ",Unassigned
DHAD_3mob_h,23dhmb_c --> 3mob_c + h2o_c,"Dihydroxy-acid dehydratase, 3-Methyl-2-oxobutanoate, ",Unassigned
PRICIh,prfp_c --> prlp_c,"1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase, ",Unassigned
PRACHh,h2o_c + prbamp_c --> prfp_c,"Phosphoribosyl-AMP cyclohydrolase, ",Unassigned
DHQTi,3dhq_c --> 3dhsk_c + h2o_c,"3-dehydroquinate dehydratase, irreversible",Unassigned
PRAISh,5aizc_c + asp__L_c + atp_c --> 25aics_c + adp_c + h_c + pi_c,"Phosphoribosylaminoimidazolesuccinocarboxamide synthase, ",Unassigned
G5DHx,glu5p_c + h_c + nadph_c <=> glu5sa_c + nadp_c + pi_c,Glutamate-5-semialdehyde dehydrogenase,Unassigned
PSCIT,pep_c + skm5p_c --> 3psme_c + pi_c,3-phosphoshikimate 1-carboxyvinyltransferase,Unassigned
VALTLh,atp_c + trnaval_c + val__L_c --> amp_c + ppi_c + valtrna_c,"Valine---tRNA ligase, ",Unassigned
TAL,thr__L_c --> 2obut_c + nh4_c,Threonine ammonia-lyase,Unassigned
IDPh,h2o_c + ppi_c --> 2.0 pi_c,Inorganic diphosphatase,Unassigned
MCS,2p4c2me_c --> 2mecdp_c + cmp_c,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",Unassigned
FACOAL100p,atp_c + coa_c + dca_c --> amp_c + dcacoa_c + ppi_c,Fatty acid  CoA ligase  decanoate   peroxisomal,Unassigned
GCL,atp_c + cys__L_c + glu__L_c --> adp_c + glucys_c + h_c + pi_c,Glutamate---cysteine ligase,Unassigned
AKGDb,coa_c + sdhlam_c --> dhlam_c + succoa_c,Oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase),Unassigned
SAT,accoa_c + ser__L_c --> acser_c + coa_c,Serine O-acetyltransferase,Unassigned
13PPDH2,h_c + lald__L_c + nadph_c <=> 13ppd_c + nadp_c,"1,3-propanediol dehydrogenase",Unassigned
ALDD3y2,h2o_c + nadp_c + ppal_c --> 2.0 h_c + nadph_c + ppa_c,"Aldehyde dehydrogenase (propanal, NADP)",Unassigned
CHLPi,cholp_c + h2o_c --> chol_c + pi_c,Choline_phosphate phosphatase,Unassigned
ETHPi,ethamp_c + h2o_c --> etha_c + pi_c,Ethanolamine_phosphate phosphatase,Unassigned
2obut_Transport,2obut_e --> 2obut_c,,Unassigned
f6p_Transport,f6p_e --> f6p_c,,Unassigned
g1p_Transport,g1p_e --> g1p_c,,Unassigned
g6p_Transport,g6p_e --> g6p_c,,Unassigned
glx_Transport,glx_e --> glx_c,,Unassigned
malt_Transport,malt_e --> malt_c,,Unassigned
malttr_Transport,malttr_e --> malttr_c,,Unassigned
thymd_Transport,thymd_e --> thymd_c,,Unassigned
tre_Transport,tre_e --> tre_c,,Unassigned
inost_Transport,inost_e --> inost_c,,Unassigned
lcts_Transport,lcts_e --> lcts_c,,Unassigned
CITCIb,citac_c + h2o_c <=> r3mmal_c,3-methylmalate hydratase,Unassigned
3MMD,nad_c + r3mmal_c --> 2m3osuc_c + h_c + nadh_c,3-methylmalate dehydrogenase,Unassigned
MOSDC,2m3osuc_c + h_c --> 2obut_c + co2_c,2-methyl-3-oxosuccinate decarboxylation,Unassigned
citac_Transport,citac_e --> citac_c,,Unassigned
CITCIa,citm_c <=> citac_c + h2o_c,Citramalate dehydratase,Unassigned
citm_Transport,citm_e --> citm_c,,Unassigned
ASPR,asp__D_c --> asp__L_c,Aspartate racemase,Unassigned
asp__D_Transport,asp__D_e --> asp__D_c,,Unassigned
SSAH,2.0 h_c + nadh_c + sucsal_c <=> h4but_c + nad_c,,Unassigned
OCOAT3r,ghb_c + succoa_c <=> 4hbutcoa_c + succ_c,3-oxoacid CoA-transferase (Succinyl-CoA: 4-hydroxybutanoate),Unassigned
GHBDHy,h_c + nadph_c + sucsal_c <=> ghb_c + nadp_c,Gamma-hydroxybutyrate dehydrogenase (NADPH),Unassigned
h4but_Transport,h4but_e --> h4but_c,,Unassigned
2HBO,2hb_c + nad_c <=> 2obut_c + h_c + nadh_c,2 HydroxybutyrateNAD oxidoreductase,Unassigned
EPGALURSe,h2o_e + pectin_e --> galur_e,Endopolygalacturonase  extracellular ,Unassigned
MLTG6,dextrin_c + 2.0 h2o_c --> 2.0 glc__D_c,Maltodextrin glucosidase  dextrin ,Unassigned
SORD_D,fad_c + sbt__D_c <=> fadh2_c + srb__L_c,D sorbitol dehydrogenase,Unassigned
SBTD_D2,nad_c + sbt__D_c --> fru_c + h_c + nadh_c,D sorbitol dehydrogenase  D fructose producing ,Unassigned
TARTRDH2,nad_c + tartr__M_c <=> h_c + nadh_c + oxglyc_c,Tartrate dehydrogenase,Unassigned
TARTRDH,nad_c + tartr__L_c <=> h_c + nadh_c + oxglyc_c,Tartrate dehydrogenase,Unassigned
TARTDC,h_c + tartr__L_c --> co2_c + glyc__R_c,Tartrate decarboxylase,Unassigned
tartr__M_Transport,tartr__M_e --> tartr__M_c,,Unassigned
MACPT,acACP_c + malon_c --> ac_c + malACP_c,Malonyl-ACP transferase,Unassigned
malon_Transport,malon_e --> malon_c,,Unassigned
TAG1PK,atp_c + tag1p__D_c --> adp_c + h_c + tagdp__D_c,D Tagatose 1 phosphate kinase,Unassigned
TGBPA,tagdp__D_c <=> dhap_c + g3p_c,Tagatose-bisphosphate aldolase,Unassigned
TCBO,q8_c + tcb_c --> acon_C_c + q8h2_c,Tricarballylate oxidase,Unassigned
AMPEP4,alagly_c + h2o_c <=> ala__L_c + gly_c,Aminopeptidase ,Unassigned
AMPEP10,gly_asp__L_c + h2o_c <=> asp__L_c + gly_c,Aminopeptidase ,Unassigned
AMPEP8,gly_glu__L_c + h2o_c <=> glu__L_c + gly_c,Aminopeptidase ,Unassigned
PPDOy,h_c + lald__D_c + nadph_c --> 12ppd__R_c + nadp_c,"Propane-1,2-diol:NADP+ 1-oxidoreductase",Unassigned
AGDC,acgam6p_c + h2o_c --> ac_c + gam6p_c,N-acetylglucosamine-6-phosphate deacetylase,Unassigned
AMANAPEr,acmanap_c <=> acgam6p_c,N-acetylmannosamine 6-phosphate epimerase,Unassigned
ACNML,acnam_c --> acmana_c + pyr_c,N-Acetylneuraminate lyase,Unassigned
AMANK,acmana_c + atp_c --> acmanap_c + adp_c + h_c,N-acetyl-D-mannosamine kinase,Unassigned
ALLK,all__D_c + atp_c --> adp_c + all6p_c + h_c,Allose kinase,Unassigned
ALLPI,all6p_c <=> allul6p_c,Allose 6-phosphate isomerase,Unassigned
ALLULPE,allul6p_c <=> f6p_c,Allulose 6-phosphate epimerase,Unassigned
ARAI,arab__L_c <=> rbl__L_c,L-arabinose isomerase,Unassigned
RBK_L1,atp_c + rbl__L_c --> adp_c + h_c + ru5p__L_c,L-ribulokinase (L-ribulose),Unassigned
BUTCT,accoa_c + but_c --> ac_c + btcoa_c,Acetyl-CoA:butyrate-CoA transferase,Unassigned
HACD1,aacoa_c + h_c + nadh_c <=> 3hbcoa_c + nad_c,3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA),Unassigned
DHAPT,dha_c + pep_c --> dhap_c + pyr_c,Dihydroxyacetone phosphotransferase,Unassigned
FCI,fuc__L_c <=> fcl__L_c,L-fucose isomerase,Unassigned
FCLK,atp_c + fcl__L_c --> adp_c + fc1p_c + h_c,L-fuculokinase,Unassigned
FCLPA,fc1p_c <=> dhap_c + lald__L_c,L-fuculose 1-phosphate aldolase,Unassigned
GALKr,atp_c + gal_c <=> adp_c + gal1p_c + h_c,Galactokinase,Unassigned
UGLT,gal1p_c + udpg_c <=> g1p_c + udpgal_c,UDPglucose--hexose-1-phosphate uridylyltransferase,Unassigned
GLTPD,galt1p_c + nad_c <=> h_c + nadh_c + tag6p__D_c,Galactitol-1-phosphate dehydrogenase,Unassigned
PFK_2,atp_c + tag6p__D_c --> adp_c + h_c + tagdp__D_c,Phosphofructokinase,Unassigned
G6PDA,gam6p_c + h2o_c --> f6p_c + nh4_c,Glucosamine-6-phosphate deaminase,Unassigned
GLYC3Pt6pp,glyc3p_p + pi_c --> glyc3p_c + pi_p,Glycerol-3-phosphate : phosphate antiporter (periplasm),Unassigned
G3PT,glyc3p_c + h2o_c --> glyc_c + pi_c,Glycerol-3-phosphatase,Unassigned
LYXI,lyx__L_c --> xylu__L_c,Lyxose isomerase,Unassigned
XYLK2,atp_c + xylu__L_c --> adp_c + h_c + xu5p__L_c,L-xylulokinase,Unassigned
X5PL3E,xu5p__L_c --> ru5p__L_c,L-xylulose 5-phosphate 3-epimerase,Unassigned
RBP4E,ru5p__L_c <=> xu5p__D_c,L-ribulose-phosphate 4-epimerase,Unassigned
MALDDH,mal__D_c + nad_c --> co2_c + nadh_c + pyr_c,Malate decarboxylating oxidoreductase (decarboxylating),Unassigned
METGLCURtex,metglcur_e <=> metglcur_p,1-O-methyl-Beta-D-glucuronate via diffusion (extracellular),Unassigned
METGLCUR,h2o_c + metglcur_c --> glcur_c + meoh_c,1-O-Methyl-Beta-D-glucuronidase,Unassigned
M1PD,mnl1p_c + nad_c <=> f6p_c + h_c + nadh_c,Mannitol-1-phosphate 5-dehydrogenase,Unassigned
SBTPD,nad_c + sbt6p_c <=> f6p_c + h_c + nadh_c,Sorbitol-6-phosphate dehydrogenase,Unassigned
TARTRt7pp,succ_c + tartr__L_p <=> succ_p + tartr__L_c,Tartrate/succinate antiporter (periplasm),Unassigned
TARTD,tartr__L_c --> h2o_c + oaa_c,L(+)-tartrate dehydratase,Unassigned
TYROXDApp,h2o_p + o2_p + tym_p --> 4hoxpacd_p + h2o2_p + nh4_p,Tyramine:oxygen oxidoreductase(deaminating)(flavin-containing) (periplasm),Unassigned
4HOXPACDOX_NADP,4hoxpacd_c + h2o_c + nadp_c --> 4hphac_c + 2.0 h_c + nadph_c,4HOXPACDOX LPAREN NADP RPAREN ,Unassigned
AACOAR_syn,aacoa_c + h_c + nadph_c --> 3hbcoa__R_c + nadp_c,Acetoacetyl CoA reductase,Unassigned
ACDO,dhmtp_c + o2_c --> 2kmb_c + for_c + h_c,Acireductone dioxygenase,Unassigned
ACOXT,accoa_c + oxa_c --> ac_c + oxalcoa_c,Acetyl-CoA:oxalate CoA-transferase,Unassigned
AMAA,acmama_c + h2o_c --> acmam_c + ala__L_c,N-acetylmuramoyl-L-alanine amidase,Unassigned
BLACT,h2o_c + pencil_c --> h_c + pencilca_c,Beta lactamase,Unassigned
CBL,cyst__L_h + h2o_h --> hcys__L_h + nh4_h + pyr_h,Cystathionine beta-lyase,Unassigned
CDPGLC46DH,cdpglc_c --> cdp4dh6doglc_c + h2o_c,CDP glucose 4 6 dehydratase,Unassigned
CMHMI,5cmhm_c --> 5cohe_c,5 carboxymethyl 2 hydroxymuconate delta isomerase,Unassigned
CODSCL5DA,codscl5a_c + h2o_c --> acald_c + codscl5b_c + h_c,Cobalt precorrin 5a deacetylation,Unassigned
COKECBESr,coke_r + h2o_r --> bz_r + egme_r + h_r,Carboxylesterase (cocaine) (er),Unassigned
DGUNC,2.0 gtp_c --> cdigmp_c + 2.0 ppi_c,Diguanylate cyclase,Unassigned
DHPDO,34dhpha_c + o2_c --> 5cmhmsa_c + h_c,3 4 dihydroxyphenylacetate 2 3 dioxygenase,Unassigned
DHR,cbasp_m --> dhor__S_m + h2o_m + h_m,Dihydroorotase,Unassigned
EAR181x,h_c + nadh_c + t3c11vaceACP_c --> nad_c + octeACP_c,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:1),Unassigned
EAR80x,h_c + nadh_c + toct2eACP_c --> nad_c + ocACP_c,Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0),Unassigned
ECGISOr,ecgon_r --> pecgon_r,Ecgonine isomerase (ER),Unassigned
FLVRx,h_c + nadh_c + ribflv_c --> nad_c + rbflvrd_c,Flavin reductase (NAD),Unassigned
FNOR,2.0 fdxrd_c + h_c + nadp_c --> 2.0 fdxo_2_2_c + nadph_c,Ferredoxin---NADP+ reductase,Unassigned
H4THDPS,aspsa_c + pyr_c --> 4hthdp_c + h2o_c + h_c,4-hydroxy-tetrahydrodipicolinate synthase,Unassigned
HIUH,5hiu_m + h2o_m --> 5houdic_m,Hydroxyisourate hydrolase,Unassigned
HPA3MO,4hphac_c + h_c + nadh_c + o2_c --> 34dhpha_c + h2o_c + nad_c,4 hydroxyphenylacetate 3 monooxygenase nadh,Unassigned
HSD17B2r,andrstndn_r + h_r + nadh_r --> nad_r + tststerone_r,17-beta-hydroxysteroid dehydrogenase,Unassigned
